n,m,k0,initial_nodes,iteration,reciprocal_threshold,df,entropy,normalized_entropy,spectral_scaling,spectral_gap,root_is_leader,filename
20,3,1,1,0,0.0,1.622232955550603e-08,1.7581898235982834,1.0,11.536864268377792,3.495288287849841,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration0
20,3,1,1,1,0.0,0.0,1.7766324604175276,1.0,14.383543295798724,2.5786445557093747,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration1
20,3,1,1,2,0.0,0.0,1.7925884286219151,1.0,16.28461882614978,3.1890285180569093,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration2
20,3,1,1,3,0.0,0.0,1.8315603377717558,1.0,16.830365106289364,4.143706184927007,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration3
20,3,1,1,4,0.0,0.0,1.7734418328862709,1.0,14.292563801469,3.5544274230596136,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration4
20,3,1,1,5,0.0,0.0,1.7792679962393196,1.0,17.77820577570995,3.3817510558250654,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration5
20,3,1,1,6,0.0,0.0,1.7877079476506819,1.0,15.34279360908691,3.925226632376057,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration6
20,3,1,1,7,0.0,4.729581163024141e-08,1.8229008009273293,1.0,16.821913555896955,3.7240097368614418,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration7
20,3,1,1,8,0.0,0.0,1.7809046480949524,1.0,13.064144271906853,3.929093569633661,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration8
20,3,1,1,9,0.0,1.9868214925130207e-08,1.808893119667151,1.0,17.0154414738282,3.5015745012898685,False,prices_model_n20_m3_k01_initial_nodes1_p0.0_iteration9
20,3,1,1,0,0.041666666666666664,0.0,1.7781064962698803,1.0,14.045603097816612,3.3832545801918252,False,prices_model_n20_m3_k01_initial_nodes1_p0.04_iteration0
20,3,1,1,1,0.041666666666666664,0.0,1.7813765426611659,1.0,14.218272042449806,3.6917476774615885,False,prices_model_n20_m3_k01_initial_nodes1_p0.04_iteration1
20,3,1,1,2,0.041666666666666664,0.0,1.8220741335618178,1.0,24.998074217506552,4.280568919694914,False,prices_model_n20_m3_k01_initial_nodes1_p0.04_iteration2
20,3,1,1,3,0.041666666666666664,0.0,1.7543571970558622,1.0,12.365429899345171,3.250057675616777,False,prices_model_n20_m3_k01_initial_nodes1_p0.04_iteration3
20,3,1,1,4,0.041666666666666664,0.0,1.7891545548659915,1.0,14.78064557299742,3.520946107629839,False,prices_model_n20_m3_k01_initial_nodes1_p0.04_iteration4
20,3,1,1,5,0.041666666666666664,0.0,1.7785728898351787,1.0,16.308556413462277,3.6115973925040525,False,prices_model_n20_m3_k01_initial_nodes1_p0.04_iteration5
20,3,1,1,6,0.041666666666666664,1.622232955550603e-08,1.797710263973681,1.0,14.985690314436413,3.7684895482314333,False,prices_model_n20_m3_k01_initial_nodes1_p0.04_iteration6
20,3,1,1,7,0.041666666666666664,0.0,1.7933595650408645,1.0,17.819875491046524,3.406300019414118,False,prices_model_n20_m3_k01_initial_nodes1_p0.04_iteration7
20,3,1,1,8,0.041666666666666664,1.1470919235341267e-08,1.7793443953390138,1.0,12.013102544882198,3.5272760257417253,False,prices_model_n20_m3_k01_initial_nodes1_p0.04_iteration8
20,3,1,1,9,0.041666666666666664,1.622232955550603e-08,1.7658219883565105,1.0,12.486579892580194,3.4633206376110186,False,prices_model_n20_m3_k01_initial_nodes1_p0.04_iteration9
20,3,1,1,0,0.08333333333333333,0.0,1.7868072105476944,1.0,13.417376098530983,3.6914382498171725,False,prices_model_n20_m3_k01_initial_nodes1_p0.08_iteration0
20,3,1,1,1,0.08333333333333333,0.0,1.7754353696968992,1.0,17.457270518626775,4.016478942477235,False,prices_model_n20_m3_k01_initial_nodes1_p0.08_iteration1
20,3,1,1,2,0.08333333333333333,0.0,1.785350416443611,1.0,14.192513584728193,3.887806156919877,False,prices_model_n20_m3_k01_initial_nodes1_p0.08_iteration2
20,3,1,1,3,0.08333333333333333,0.1690308509456981,1.7878052316285,0.9966710120665861,17.965306480994457,3.472348766214281,False,prices_model_n20_m3_k01_initial_nodes1_p0.08_iteration3
20,3,1,1,4,0.08333333333333333,0.09667364890456703,1.7750256185300748,0.9981986886264516,17.927896116443677,3.4969369839302433,False,prices_model_n20_m3_k01_initial_nodes1_p0.08_iteration4
20,3,1,1,5,0.08333333333333333,0.0,1.7686997109199676,1.0,14.048865038266019,3.5125832955140224,False,prices_model_n20_m3_k01_initial_nodes1_p0.08_iteration5
20,3,1,1,6,0.08333333333333333,1.622232955550603e-08,1.768668720375355,1.0,14.957942576228184,3.7253170485561573,False,prices_model_n20_m3_k01_initial_nodes1_p0.08_iteration6
20,3,1,1,7,0.08333333333333333,0.0,1.7581722127651314,1.0,16.214394052997836,3.375313733208655,False,prices_model_n20_m3_k01_initial_nodes1_p0.08_iteration7
20,3,1,1,8,0.08333333333333333,1.1470919235341267e-08,1.7814593707195334,1.0,15.25647657329366,3.0601809905279245,False,prices_model_n20_m3_k01_initial_nodes1_p0.08_iteration8
20,3,1,1,9,0.08333333333333333,0.09667364890455742,1.7840996676009078,0.998712636605843,16.277554956997193,3.998737187190859,False,prices_model_n20_m3_k01_initial_nodes1_p0.08_iteration9
20,3,1,1,0,0.125,0.2970580067117832,1.7398022478356305,0.9811011164700919,16.129241976775603,3.824768912335624,False,prices_model_n20_m3_k01_initial_nodes1_p0.12_iteration0
20,3,1,1,1,0.125,0.33359566769080684,1.7209230381052327,0.9713894027989237,15.058422520569806,3.9128208594904827,False,prices_model_n20_m3_k01_initial_nodes1_p0.12_iteration1
20,3,1,1,2,0.125,0.34132936424884947,1.7289193669602416,0.9700937665238608,15.14739096082829,3.791902930425708,False,prices_model_n20_m3_k01_initial_nodes1_p0.12_iteration2
20,3,1,1,3,0.125,0.33373148873652236,1.7195538232513585,0.9670117044463836,16.163495146219255,3.934042882088539,False,prices_model_n20_m3_k01_initial_nodes1_p0.12_iteration3
20,3,1,1,4,0.125,0.3696952673107858,1.6983039066179526,0.9597953113919908,15.105740408597931,3.5205570801712263,False,prices_model_n20_m3_k01_initial_nodes1_p0.12_iteration4
